UniProt编号,UniProt推荐蛋白名称,UniProt主Gene Symbol,UniProt审核状态,Organism ID,UniProt查询链接,查询状态
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),UBA6,reviewed,9606,https://www.uniprot.org/uniprotkb/A0AVT1,returned
A5PKW4,PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1),PSD,reviewed,9606,https://www.uniprot.org/uniprotkb/A5PKW4,returned
O00141,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),SGK1,reviewed,9606,https://www.uniprot.org/uniprotkb/O00141,returned
O00142,"Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)",TK2,reviewed,9606,https://www.uniprot.org/uniprotkb/O00142,returned
O00187,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],MASP2,reviewed,9606,https://www.uniprot.org/uniprotkb/O00187,returned
O00206,Toll-like receptor 4 (hToll) (CD antigen CD284),TLR4,reviewed,9606,https://www.uniprot.org/uniprotkb/O00206,returned
O00222,Metabotropic glutamate receptor 8 (mGluR8),GRM8,reviewed,9606,https://www.uniprot.org/uniprotkb/O00222,returned
O00231,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,reviewed,9606,https://www.uniprot.org/uniprotkb/O00231,returned
O00232,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,reviewed,9606,https://www.uniprot.org/uniprotkb/O00232,returned
O00255,Menin,MEN1,reviewed,9606,https://www.uniprot.org/uniprotkb/O00255,returned
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)",PIK3CD,reviewed,9606,https://www.uniprot.org/uniprotkb/O00329,returned
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)",PDE2A,reviewed,9606,https://www.uniprot.org/uniprotkb/O00408,returned
