中药名称,中药分子,TCMSP MOL_ID,molecule_ID,TCMSP分子对应靶点名称,TCMSP分子对应靶点Gene Symbol,TCMSP分子对应靶点UniProt编号,Swiss预测靶点名称,Swiss预测靶点Gene Symbol,Swiss预测靶点UniProt编号,Swiss预测概率,Swiss查询网站,AD相关证明句（英文原文）,PMID,PubMed链接
贯众,isopentenyaldenosine,MOL002628,2628,Prostaglandin G/H synthase 2,PTGS2,P35354,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),UBA6,A0AVT1,0.09027411260632272,https://www.swisstargetprediction.ch/result.php?job=1093850023&organism=Homo_sapiens,"On the other hand, inhibition of UBA6 or BIRC6 could be used to enhance autophagy for the treatment of neurodegenerative disorders caused by abnormal protein aggregation.",31692446,https://pubmed.ncbi.nlm.nih.gov/31692446/
大枣,Jubanine-A,MOL012953,12953,Prostaglandin G/H synthase 2,PTGS2,P35354,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],MASP2,O00187,0.02957149655186568,https://www.swisstargetprediction.ch/result.php?job=1651712078&organism=Homo_sapiens,"No changes were detected in LC3-I levels compared to MAP-2 in Tg-APP mice (Fig 1B), but LC3-II, which indicates the amount of autophagosomes, was detected and Bosutinib significantly decreased LC3-II relative to both LC3-I (16 +- 2.4, mean +- sd, p = 0.0001) and MAP-2 (29 +- 8, mean +- sd, p = 0.0001) levels (Fig 1B, N = 9), suggesting that Abl inhibition increases parkin and facilitates autophagic clearance.",23737459,https://pubmed.ncbi.nlm.nih.gov/23737459/
钩藤,vincoside lactam_qt,MOL008484,8484,Muscarinic acetylcholine receptor M1; Prostaglandin G/H synthase 2,CHRM1; PTGS2,P11229; P35354,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],MASP2,O00187,0.005755369999066663,https://www.swisstargetprediction.ch/result.php?job=627087047&organism=Homo_sapiens,"No changes were detected in LC3-I levels compared to MAP-2 in Tg-APP mice (Fig 1B), but LC3-II, which indicates the amount of autophagosomes, was detected and Bosutinib significantly decreased LC3-II relative to both LC3-I (16 +- 2.4, mean +- sd, p = 0.0001) and MAP-2 (29 +- 8, mean +- sd, p = 0.0001) levels (Fig 1B, N = 9), suggesting that Abl inhibition increases parkin and facilitates autophagic clearance.",23737459,https://pubmed.ncbi.nlm.nih.gov/23737459/
百部,sessilifoliamide E,MOL009416,9416,Prostaglandin G/H synthase 2,PTGS2,P35354,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.1647326441978818,https://www.swisstargetprediction.ch/result.php?job=756865332&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,tuberostemonone,MOL009370,9370,Prostaglandin G/H synthase 2,PTGS2,P35354,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.1139770139207328,https://www.swisstargetprediction.ch/result.php?job=221977038&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,tuberostemospironine,MOL009371,9371,"Neuronal acetylcholine receptor protein, alpha-7 chain; Gamma-aminobutyric-acid receptor alpha-5 subunit",CHRNA7; GABRA5,P36544; P31644,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.0811899395305489,https://www.swisstargetprediction.ch/result.php?job=1369101806&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,tuberostemonine C,MOL009363,9363,Muscarinic acetylcholine receptor M2,CHRM2,P08172,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.05151422234394768,https://www.swisstargetprediction.ch/result.php?job=2044676129&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,isotuberostemonine,MOL009396,9396,Muscarinic acetylcholine receptor M2,CHRM2,P08172,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.05122952524451043,https://www.swisstargetprediction.ch/result.php?job=1692589450&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,tuberostemonine A,MOL009444,9444,Muscarinic acetylcholine receptor M2,CHRM2,P08172,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.05122952524451043,https://www.swisstargetprediction.ch/result.php?job=1128901673&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,neotuberostemonine,MOL009404,9404,Muscarinic acetylcholine receptor M2,CHRM2,P08172,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.05010555727825809,https://www.swisstargetprediction.ch/result.php?job=476224792&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,tuberostemonine,MOL009364,9364,Muscarinic acetylcholine receptor M2,CHRM2,P08172,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.04873343321898144,https://www.swisstargetprediction.ch/result.php?job=1554174992&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,2-oxostenine,MOL009379,9379,Muscarinic acetylcholine receptor M2; Prostaglandin G/H synthase 2,CHRM2; PTGS2,P08172; P35354,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,O00231,0.04200528620785515,https://www.swisstargetprediction.ch/result.php?job=2067749336&organism=Homo_sapiens,"Among the genes that were up-regulated by the UBE4B and LSD1 double knockdown in our microarray data set, there were a few that had been reported to be important for protein quality control, including forkhead box O3 (FOXO3a), FOXO4, and proteasome 26S subunit non-ATPase11 (PSMD11) (S3C Fig.",25837623,https://pubmed.ncbi.nlm.nih.gov/25837623/
百部,sessilifoliamide E,MOL009416,9416,Prostaglandin G/H synthase 2,PTGS2,P35354,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,O00232,0.1647326441978818,https://www.swisstargetprediction.ch/result.php?job=756865332&organism=Homo_sapiens,"We found that knockdown of DV and DVSM genes that were more variable in both the 180Q and the 72Q isogenic systems (KXD1, IDH3B, YIF1B and RNF5) or only in the 180Q system (ARPC2, CHMP5, PARK7, ADRM1, and PSMD12) had the strongest increase in aggregate formation (Fig.",33663567,https://pubmed.ncbi.nlm.nih.gov/33663567/
