原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,中药数,TCMSP_MOL_ID数,分子名称数,molecule_ID连接状态,SMILES审计
596,100,O=C1C(O)=C(c2ccc(O)c(O)c2)[O+]=C2[CH]C(O)=CC(O)=C12,STP00595,成功（100条，已去重）,100,4.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3841,10001,C=C1[C@H](OC(=O)/C=C(\C)CC)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)OC(C)=O)C(=O)C[C@@]12C,STP03835,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2510,10003,C=C1[C@H](OC(=O)C=C(C)C)C[C@@H](C(C)C)[C@@H]2/C(=C\C)C(=O)C[C@@H]12,STP02505,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2288,10004,C=C1[C@H](OC(=O)/C(C)=C\C)C[C@@H](C(C)C)[C@@H]2/C(=C\C)C(=O)C[C@@H]12,STP02283,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1319,10008,C=C(CCC=C(C)C)[C@@H]1CC(=O)[C@]2(C)O[C@@H]2C1,STP01317,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3243,1001,O=c1c(O[C@@H]2O[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,STP03237,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3334,10010,C=C1[C@H](OC(=O)CC(C)C)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)O)C(=O)C[C@@H]12,STP03328,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3092,10011,C=C(/C=C(\C)CC)O[C@@H]1C=C(C(C)C)[C@]2(C)/C(=C/C)C(=O)OC[C@@]2(C)C1=C,STP03087,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3470,10013,C=C1[C@H](OC(=O)/C=C(\C)CC)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)O)C(=O)[C@@H](O)[C@@]12C,STP03464,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3346,10014,C=C1[C@H](OC(=O)/C(C)=C\C)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)OC(C)=O)C(=O)[C@@H](O)[C@@]12C,STP03340,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
