原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,Swiss Top1靶点名称,Swiss Top1 Gene Symbol,Swiss Top1概率,STP Job ID,Swiss查询网站,备注,TCMSP MOL_ID,中药小分子,小分子全量排名,小分子严格排名,molecule_ID连接状态
596,100,O=C1C(O)=C(c2ccc(O)c(O)c2)[O+]=C2[CH]C(O)=CC(O)=C12,STP00595,成功（100条，已去重）,100,Maltase-glucoamylase,MGAM,0.0407088729924026,2000973410,https://www.swisstargetprediction.ch/result.php?job=2000973410&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL000100,isoquercetin_qt,595,,molecule_ID精确匹配
3841,10001,C=C1[C@H](OC(=O)/C=C(\C)CC)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)OC(C)=O)C(=O)C[C@@]12C,STP03835,成功（100条，已去重）,100,Peroxisome proliferator-activated receptor gamma,PPARG,0.7803799090832676,1649742746,https://www.swisstargetprediction.ch/result.php?job=1649742746&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010001,14-acetoxy-7beta-(3-ethyl crotonoyloxy)notonlpetranone,3840,,molecule_ID精确匹配
2510,10003,C=C1[C@H](OC(=O)C=C(C)C)C[C@@H](C(C)C)[C@@H]2/C(=C\C)C(=O)C[C@@H]12,STP02505,成功（100条，已去重）,100,Aromatase,CYP19A1,0.7513804328591718,162315320,https://www.swisstargetprediction.ch/result.php?job=162315320&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010003,"7beta-angeloyloxyoplopa-3(14)Z,8(10)-dien-2-one",2509,802,molecule_ID精确匹配
2288,10004,C=C1[C@H](OC(=O)/C(C)=C\C)C[C@@H](C(C)C)[C@@H]2/C(=C\C)C(=O)C[C@@H]12,STP02283,成功（100条，已去重）,100,Aromatase,CYP19A1,0.794066892723646,960212130,https://www.swisstargetprediction.ch/result.php?job=960212130&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010004,"7beta-(4-methylsenecioyloxy)oplopa-3(14)E,8(10)-dien-2-one",2287,715,molecule_ID精确匹配
1319,10008,C=C(CCC=C(C)C)[C@@H]1CC(=O)[C@]2(C)O[C@@H]2C1,STP01317,成功（100条，已去重）,100,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,0.6950122676105386,42667392,https://www.swisstargetprediction.ch/result.php?job=42667392&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010008,"(1R,4S,6R)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)-7-oxabicyclo[4.1.0]heptan-2-one",1318,,molecule_ID精确匹配
3243,1001,O=c1c(O[C@@H]2O[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,STP03237,成功（100条，已去重）,100,Xanthine dehydrogenase/oxidase,XDH,0.9951401115311204,1601865689,https://www.swisstargetprediction.ch/result.php?job=1601865689&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL001001,quercetin-3-O-β-D-glucuronide,3242,1025,molecule_ID精确匹配
3334,10010,C=C1[C@H](OC(=O)CC(C)C)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)O)C(=O)C[C@@H]12,STP03328,成功（100条，已去重）,100,Prostaglandin G/H synthase 2,PTGS2,0.8399491510879911,1104682231,https://www.swisstargetprediction.ch/result.php?job=1104682231&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010010,14(R)-hydroxy-7beta-isovaleroyloxyoplop-8(10)-en-2-one,3333,,molecule_ID精确匹配
3092,10011,C=C(/C=C(\C)CC)O[C@@H]1C=C(C(C)C)[C@]2(C)/C(=C/C)C(=O)OC[C@@]2(C)C1=C,STP03087,成功（100条，已去重）,100,Ubiquitin-conjugating enzyme E2 D3,UBE2D3,0.3151194350571321,570521505,https://www.swisstargetprediction.ch/result.php?job=570521505&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010011,"7beta-[3-ethyl-cis-crotonoyloxy]-5,6-dehydro-3,14-dehydro-Z-notonipetralactone",3091,,molecule_ID精确匹配
3470,10013,C=C1[C@H](OC(=O)/C=C(\C)CC)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)O)C(=O)[C@@H](O)[C@@]12C,STP03464,成功（100条，已去重）,100,Aromatase,CYP19A1,0.5760450611961341,1706252593,https://www.swisstargetprediction.ch/result.php?job=1706252593&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010013,7beta-(3-ethyl-cis-crotonoyloxy)-14-hydroxy-notonipetranone,3469,1075,molecule_ID精确匹配
3346,10014,C=C1[C@H](OC(=O)/C(C)=C\C)C[C@@H](C(C)C)[C@@H]2[C@@H]([C@@H](C)OC(C)=O)C(=O)[C@@H](O)[C@@]12C,STP03340,成功（100条，已去重）,100,"NACHT, LRR and PYD domains-containing protein 3",NLRP3,0.6705738485867835,1766618866,https://www.swisstargetprediction.ch/result.php?job=1766618866&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010014,14-acetoxy-7beta-angeloyloxy-notonipetranone,3345,1049,molecule_ID精确匹配
