中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名
益母草,Yimucao,Leonuri Herba,活血祛瘀药,isoquercetin_qt,MOL000100,100,595,
草果,Caoguo,Amomum Tsao-Ko Crevostet,化湿药,isoquercetin_qt,MOL000100,100,595,
荷叶,Heye,Folium Nelumbinis,清热解毒药,isoquercetin_qt,MOL000100,100,595,
青蒿,Qinghao,Artemisia Annua L.,清虚热药,isoquercetin_qt,MOL000100,100,595,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,14-acetoxy-7beta-(3-ethyl crotonoyloxy)notonlpetranone,MOL010001,10001,3840,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"7beta-angeloyloxyoplopa-3(14)Z,8(10)-dien-2-one",MOL010003,10003,2509,802
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"7beta-(4-methylsenecioyloxy)oplopa-3(14)E,8(10)-dien-2-one",MOL010004,10004,2287,715
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"(1R,4S,6R)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)-7-oxabicyclo[4.1.0]heptan-2-one",MOL010008,10008,1318,
没药,Moyao,Myrrha,活血祛瘀药,quercetin-3-O-β-D-glucuronide,MOL001001,1001,3242,1025
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,14(R)-hydroxy-7beta-isovaleroyloxyoplop-8(10)-en-2-one,MOL010010,10010,3333,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"7beta-[3-ethyl-cis-crotonoyloxy]-5,6-dehydro-3,14-dehydro-Z-notonipetralactone",MOL010011,10011,3091,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,7beta-(3-ethyl-cis-crotonoyloxy)-14-hydroxy-notonipetranone,MOL010013,10013,3469,1075
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,14-acetoxy-7beta-angeloyloxy-notonipetranone,MOL010014,10014,3345,1049
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,senkirkine,MOL010023,10023,3184,1007
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Tussilagine,MOL010026,10026,322,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,tussilagin,MOL010028,10028,3805,1132
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,3-(2-propenyl)-cyclooctene,MOL010032,10032,1654,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"3,7,11-Trimethyl-dodeca-2,4,6,10-tetraenal",MOL010034,10034,2985,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"6,6-dimethyl-2-methylene-7-(3-oxobutylidene)oxepan-3-ylmethyl acetic acid ester",MOL010036,10036,3056,
伊贝母,Yibeimu,Fritillariae Pallidiflorae Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400
凤仙透骨草,Fengxiantougucao,Impatiens Balsamina,祛风湿散寒药,pelargonidin,MOL001004,1004,1195,400
平贝母,Pingbeimu,Fritillariaeussuriensis Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400
月季花,Yuejihua,Mori Cortex,活血祛瘀药,pelargonidin,MOL001004,1004,1195,400
桑白皮,Sangbaipi,Mori Cortex,止咳平喘药,pelargonidin,MOL001004,1004,1195,400
沙棘,Shaji,Hippophae Fructus,化痰药,pelargonidin,MOL001004,1004,1195,400
没药,Moyao,Myrrha,活血祛瘀药,pelargonidin,MOL001004,1004,1195,400
浙贝母,Zhebeimu,Fritillariae Thunbrgii Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400
鸡屎藤,Jishiteng,Paederiae Scandentis Herba,消食药,pelargonidin,MOL001004,1004,1195,400
八角茴香,Bajiaohuixiang,Anisi Stellati Fructus,温里药,C09628,MOL010044,10044,928,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,C09628,MOL010044,10044,928,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,C09628,MOL010044,10044,928,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,C09628,MOL010044,10044,928,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,C09628,MOL010044,10044,928,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,farfugin A,MOL010051,10051,856,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,gamma-elemene,MOL010052,10052,2833,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,kaempferol-3-arabinoside,MOL010054,10054,3256,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Femara,MOL010055,10055,2658,863
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,methyl 3-o-caffeoylquinate,MOL010058,10058,3067,979
罗汉果,Luohanguo,Momordicae Fructus,化痰药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,
