中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
益母草,Yimucao,Leonuri Herba,活血祛瘀药,isoquercetin_qt,MOL000100,100,595,,GSK3B,Glycogen synthase kinase-3 beta,422,1721,0.91289,0.722,0.817445,GSK3B,P49841
益母草,Yimucao,Leonuri Herba,活血祛瘀药,isoquercetin_qt,MOL000100,100,595,,MAPK14,Mitogen-activated protein kinase 14,402,1540,0.91031,0.718,0.814155,MAPK14,Q16539
益母草,Yimucao,Leonuri Herba,活血祛瘀药,isoquercetin_qt,MOL000100,100,595,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.94803,0.802,0.875015,PTGS2,P35354
草果,Caoguo,Amomum Tsao-Ko Crevostet,化湿药,isoquercetin_qt,MOL000100,100,595,,GSK3B,Glycogen synthase kinase-3 beta,422,1721,0.91289,0.722,0.817445,GSK3B,P49841
草果,Caoguo,Amomum Tsao-Ko Crevostet,化湿药,isoquercetin_qt,MOL000100,100,595,,MAPK14,Mitogen-activated protein kinase 14,402,1540,0.91031,0.718,0.814155,MAPK14,Q16539
草果,Caoguo,Amomum Tsao-Ko Crevostet,化湿药,isoquercetin_qt,MOL000100,100,595,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.94803,0.802,0.875015,PTGS2,P35354
荷叶,Heye,Folium Nelumbinis,清热解毒药,isoquercetin_qt,MOL000100,100,595,,GSK3B,Glycogen synthase kinase-3 beta,422,1721,0.91289,0.722,0.817445,GSK3B,P49841
荷叶,Heye,Folium Nelumbinis,清热解毒药,isoquercetin_qt,MOL000100,100,595,,MAPK14,Mitogen-activated protein kinase 14,402,1540,0.91031,0.718,0.814155,MAPK14,Q16539
荷叶,Heye,Folium Nelumbinis,清热解毒药,isoquercetin_qt,MOL000100,100,595,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.94803,0.802,0.875015,PTGS2,P35354
青蒿,Qinghao,Artemisia Annua L.,清虚热药,isoquercetin_qt,MOL000100,100,595,,GSK3B,Glycogen synthase kinase-3 beta,422,1721,0.91289,0.722,0.817445,GSK3B,P49841
青蒿,Qinghao,Artemisia Annua L.,清虚热药,isoquercetin_qt,MOL000100,100,595,,MAPK14,Mitogen-activated protein kinase 14,402,1540,0.91031,0.718,0.814155,MAPK14,Q16539
青蒿,Qinghao,Artemisia Annua L.,清虚热药,isoquercetin_qt,MOL000100,100,595,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.94803,0.802,0.875015,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,14-acetoxy-7beta-(3-ethyl crotonoyloxy)notonlpetranone,MOL010001,10001,3840,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.872365,0.7,0.7861825,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"7beta-angeloyloxyoplopa-3(14)Z,8(10)-dien-2-one",MOL010003,10003,2509,802,PTGS2,Prostaglandin G/H synthase 2,94,290,0.936887,0.768,0.8524435,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"7beta-(4-methylsenecioyloxy)oplopa-3(14)E,8(10)-dien-2-one",MOL010004,10004,2287,715,PTGS2,Prostaglandin G/H synthase 2,94,290,0.942371,0.784,0.8631855,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"(1R,4S,6R)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)-7-oxabicyclo[4.1.0]heptan-2-one",MOL010008,10008,1318,,ACHE,Acetylcholinesterase,165,474,0.916323,0.744,0.8301615,ACHE,P22303
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"(1R,4S,6R)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)-7-oxabicyclo[4.1.0]heptan-2-one",MOL010008,10008,1318,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.912752,0.76,0.836376,PTGS2,P35354
没药,Moyao,Myrrha,活血祛瘀药,quercetin-3-O-β-D-glucuronide,MOL001001,1001,3242,1025,PTGS2,Prostaglandin G/H synthase 2,94,290,0.868951,0.766,0.8174755,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,14(R)-hydroxy-7beta-isovaleroyloxyoplop-8(10)-en-2-one,MOL010010,10010,3333,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.899168,0.728,0.813584,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"7beta-[3-ethyl-cis-crotonoyloxy]-5,6-dehydro-3,14-dehydro-Z-notonipetralactone",MOL010011,10011,3091,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.91601,0.734,0.825005,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,7beta-(3-ethyl-cis-crotonoyloxy)-14-hydroxy-notonipetranone,MOL010013,10013,3469,1075,PTGS2,Prostaglandin G/H synthase 2,94,290,0.90745,0.706,0.806725,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,14-acetoxy-7beta-angeloyloxy-notonipetranone,MOL010014,10014,3345,1049,PTGS2,Prostaglandin G/H synthase 2,94,290,0.910406,0.716,0.813203,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,senkirkine,MOL010023,10023,3184,1007,PTGS2,Prostaglandin G/H synthase 2,94,290,0.889892,0.75,0.819946,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Tussilagine,MOL010026,10026,322,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.862583,0.768,0.8152915,CHRM1,P11229
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Tussilagine,MOL010026,10026,322,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.829132,0.75,0.789566,CHRM2,P08172
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Tussilagine,MOL010026,10026,322,,CHRNA7,"Neuronal acetylcholine receptor protein, alpha-7 chain",581,4095,0.843582,0.708,0.775791,CHRNA7,P36544
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Tussilagine,MOL010026,10026,322,,GABRA5,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,0.92831,0.742,0.835155,GABRA5,P31644
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,tussilagin,MOL010028,10028,3805,1132,PTGS2,Prostaglandin G/H synthase 2,94,290,0.877327,0.7,0.7886635,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,3-(2-propenyl)-cyclooctene,MOL010032,10032,1654,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.888905,0.7,0.7944525,CHRM2,P08172
