中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
罗汉果,Luohanguo,Momordicae Fructus,化痰药,Butyl butyrate,MOL010119,10119,4146,,BCHE,Cholinesterase,559,3923,0.814876,0.702,0.758438,,
丁香,Dingxiang,Caryophylliflos,温里药,ZINC00394787,MOL010123,10123,1696,,BCHE,Cholinesterase,559,3923,0.865097,0.748,0.8065485,,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,ZINC00394787,MOL010123,10123,1696,,BCHE,Cholinesterase,559,3923,0.865097,0.748,0.8065485,,
罗汉果,Luohanguo,Momordicae Fructus,化痰药,ZINC00394787,MOL010123,10123,1696,,BCHE,Cholinesterase,559,3923,0.865097,0.748,0.8065485,,
沙棘,Shaji,Hippophae Fructus,化痰药,"(2S,4S)-2,4-dimethyl-1,3-dioxane",MOL010214,10214,2845,,BCHE,Cholinesterase,559,3923,0.944673,0.726,0.8353365,,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
沙棘,Shaji,Hippophae Fructus,化痰药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
满山红,Manshanhong,Rhododendri Daurici Folium,止咳平喘药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
羌活,Qianghuo,Notopterygii Rhizoma Et Radix,辛温解表药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
蒿本,Haoben,Radix et Rhizoma Ligustici Chinesis,辛温解表药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
藁本,Gaoben,Ligustici Rhizoma Et Radix,辛温解表药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,Apple oil,MOL010259,10259,1923,,BCHE,Cholinesterase,559,3923,0.820818,0.702,0.761409,,
沙棘,Shaji,Hippophae Fructus,化痰药,PROPYL ISOVALERATE,MOL010272,10272,3817,,BCHE,Cholinesterase,559,3923,0.856087,0.72,0.7880435,,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,PROPYL ISOVALERATE,MOL010272,10272,3817,,BCHE,Cholinesterase,559,3923,0.856087,0.72,0.7880435,,
没药,Moyao,Myrrha,活血祛瘀药,(+)-Epiexcelsin,MOL001047,1047,2587,,BCHE,Cholinesterase,559,3923,0.972266,0.724,0.848133,,
黑老虎,Heilaohu,Kadsurae Coccineae Radix Et Caulis,理气药,2-Methylheptan-3-one,MOL010568,10568,1852,,BCHE,Cholinesterase,559,3923,0.841754,0.716,0.778877,,
鸡屎藤,Jishiteng,Paederiae Scandentis Herba,消食药,2-methylbut-2-en-1-ol,MOL010596,10596,3844,,BCHE,Cholinesterase,559,3923,0.813968,0.758,0.785984,,
鸡屎藤,Jishiteng,Paederiae Scandentis Herba,消食药,S(-)-Secobarbital,MOL010609,10609,777,,CHRNA4,"Neuronal acetylcholine receptor protein, alpha-4 chain",328,947,0.876148,0.702,0.789074,,
苦楝子,Kulianzi,Meliae Azedarach Fructus,驱虫药,ZINC02037591,MOL010665,10665,2900,,BCHE,Cholinesterase,559,3923,0.917519,0.748,0.8327595,,
莱菔子,Laifuzi,Raphani Semen,消食药,"1,1-DIMETHOXY-2-METHYLPROPANE",MOL010666,10666,1423,,BCHE,Cholinesterase,559,3923,0.964741,0.764,0.8643705,,
竹节参,Zhujieshen,Panacis Japonici Rhizoma,补气药,2-Ethoxypropane,MOL010686,10686,2399,,BCHE,Cholinesterase,559,3923,0.958045,0.758,0.8580225,,
荔枝核,Lizhihe,Litchi Semen,理气药,2-Ethoxypropane,MOL010686,10686,2399,,BCHE,Cholinesterase,559,3923,0.958045,0.758,0.8580225,,
荠菜,Jicai,Capsellae Herba,利水渗湿药,2-Ethoxypropane,MOL010686,10686,2399,,BCHE,Cholinesterase,559,3923,0.958045,0.758,0.8580225,,
南瓜子,Nanguazi,Cucurbitae Moschatae Semen,驱虫药,LEUCINOL,MOL010687,10687,2936,,BCHE,Cholinesterase,559,3923,0.917679,0.744,0.8308395,,
荔枝核,Lizhihe,Litchi Semen,理气药,LEUCINOL,MOL010687,10687,2936,,BCHE,Cholinesterase,559,3923,0.917679,0.744,0.8308395,,
玫瑰花,Meiguihua,Rose Rugosae Flos,理气药,2-Methylheptan-4-one,MOL010715,10715,2790,,BCHE,Cholinesterase,559,3923,0.939931,0.736,0.8379655,,
玫瑰花,Meiguihua,Rose Rugosae Flos,理气药,ZINC02166569,MOL010717,10717,1850,,BCHE,Cholinesterase,559,3923,0.889471,0.704,0.7967355,,
玫瑰花,Meiguihua,Rose Rugosae Flos,理气药,Ethyl 2-methyllactate,MOL010728,10728,1473,,BCHE,Cholinesterase,559,3923,0.940543,0.732,0.8362715,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,(2R)-1-ethoxypropan-2-ol,MOL010753,10753,3651,,BCHE,Cholinesterase,559,3923,0.851165,0.742,0.7965825,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,Ethyltrimethylethylene,MOL010754,10754,2709,,BCHE,Cholinesterase,559,3923,0.955472,0.728,0.841736,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,2-methyl-butanol-1-ol,MOL010756,10756,1190,,BCHE,Cholinesterase,559,3923,0.977226,0.772,0.874613,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,DS,MOL010779,10779,3736,,BCHE,Cholinesterase,559,3923,0.861788,0.722,0.791894,,
凌霄花,Lingxiaohua,Campsis Flos,活血祛瘀药,isobutyric acid,MOL010784,10784,1002,,BCHE,Cholinesterase,559,3923,0.914192,0.776,0.845096,,
凌霄花,Lingxiaohua,Campsis Flos,活血祛瘀药,isobutyric acid,MOL010784,10784,1002,,KYNU,Kynureninase,148,435,0.810687,0.708,0.7593435,,
桑叶,Sangye,Mori Follum,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,BCHE,Cholinesterase,559,3923,0.914192,0.776,0.845096,,
桑叶,Sangye,Mori Follum,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,KYNU,Kynureninase,148,435,0.810687,0.708,0.7593435,,
牛蒡子,Niubangzi,Fructus Arctii,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,BCHE,Cholinesterase,559,3923,0.914192,0.776,0.845096,,
牛蒡子,Niubangzi,Fructus Arctii,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,KYNU,Kynureninase,148,435,0.810687,0.708,0.7593435,,
